Name,First Name,District,Party,Election,Incumbent,Sex,Age,Marital Status,Number of children,Race,Ethnicity,Profession,Compensation,Education,Religion,Citizen voting- age population (District),Voters' Average Age (District),female voters,male voters,Race Composition,Etnicity Composition,Unemployment rate,Median household income (dollars),Poverty rate,Proper helath insurance rate,Highest education achieved on average
Pierrottie,Brody,LA-05,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Harris,John,LA-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Harris,Lance,LA-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Letlow,Luke,LA-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Robinson,Randall Scott,LA-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,LA-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,LA-06,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Markey,Edward J.,MA-00,Dem,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Blask,Washington,MA-00,Dem,Senate,no,,,,,,,,,,,,,,,,,,,,,
Kennedy,Joseph III,MA-00,Dem,Senate,no,,,,,,,,,,,,,,,,,,,,,
Ayyadurai,Shiva,MA-00,Rep ,Senate,no,,,,,,,,,,,,,,,,,,,,,
O'Connor,Kevin,MA-00,Rep,Senate,no,,,,,,,,,,,,,,,,,,,,,
Gray,Andre,MA-00,Green,Senate,no,,,,,,,,,,,,,,,,,,,,,
Mayock,Frederick,MA-00,Ind,Senate,no,,,,,,,,,,,,,,,,,,,,,
Neal,Richard,MA-01,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Morse,Alex,MA-01,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MA-01,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Mayock,Frederick,MA-01,Ind,House,no,,,,,,,,,,,,,,,,,,,,,
McGovern,Jim,MA-02,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Open,,MA-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Trahan,Lori,MA-03,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Open,,MA-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Auchincloss,Jake,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Cavell,Dave,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Grossman,Becky,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Khazei,Alan,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Leckey,Ihssane,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Matthew,Nick,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Mermell,Jesse,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Robinson,Herb,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Shack,Thomas III,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Shack,Tom,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Sigel,Ben,MA-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MA-04,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Santino Depalma,Raffaele,MA-05,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MA-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Moulton,Seth,MA-06,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
McQuilken,Angus,MA-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Mulcahy,Nathaniel,MA-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Zahlaway Belsito,Jamie,MA-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Moran,John Paul,MA-06,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Mixon,Matthew,MA-06,Ind,House,no,,,,,,,,,,,,,,,,,,,,,
Pressley,Ayanna,MA-07,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Open,,MA-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Goldstein,Robbie,MA-08,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Wu,Brianna,MA-08,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MA-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MA-09,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MA-09,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Harris,Andrew,MD-01,Rep ,House,yes,,,,,,,,,,,,,,,,,,,,,
Delgado,Jorge,MD-01,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Galbraith,Allison,MD-01,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Mason,Mia,MD-01,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Pingley,Jennifer,MD-01,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Ruppersberger,Dutch,MD-02,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Feldman,Michael,MD-02,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Pretot,Jake,MD-02,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Collier,Scott M.,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Fazenbaker,Tim,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Impallaria,Rick,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Morris,Genevieve,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Salling,Johnny Ray,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Simpson,Jim,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Taylor,Blaine,MD-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Northcott,Jeff,MD-02,Unaff,House,no,,,,,,,,,,,,,,,,,,,,,
Sarbanes,John,MD-03,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Ardito,Joseph,MD-03,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Rea,John,MD-03,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Anthony,Charles,MD-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Harris,Thomas,MD-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Hawkins,Reba,MD-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Joshua ,Morales,MD-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Seyfferth,Rob,MD-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Brown,Anthony G.,MD-04,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Bryant,Sheila,MD-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Shelton,Kim,MD-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Eze,Nnabu,MD-04,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Loeb,Eric,MD-04,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
McDermott,George,MD-04,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Hoyer,Steny,MD-05,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Hoffman,Vanessa Marie,MD-05,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Urbina,Briana,MD-05,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Wilkes,Mckayla,MD-05,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Duval Cubero,Bryan,MD-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Devine,William III,MD-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Havis,Lee,MD-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Lee,Kenneth,MD-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Palombi,Chris,MD-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Sayers,Douglas,MD-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
LLoyd,Rashad Dwayne,MD-05,Unaff,House,no,,,,,,,,,,,,,,,,,,,,,
Trone,David,MD-06,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Bero,Maxwell,MD-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Caldwell,Kevin,MD-06,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Meyyur,Chris,MD-06,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Parrott,Neil,MD-06,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Baker,T. Dan,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Brown,Alicia,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Carter,Jill,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Chullin,Matko Lee III,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Davidson,Jermyn Michael,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Gonzales,Darryl,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Gosnell,Mark,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Hiegel,Dan,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Howard, Michael Jr.,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Jalisi,Jay,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Mfume,Kweisi,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Petrus,Adrian,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Rabb,Saafir,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Rockeymoore Cummings,Maya,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Schuman,Gary,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Smith,Charles,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Spikes,Harry,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Stokes,Charles,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Woodard,Jeffrey,MD-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Bly,Ray,MD-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Brown,Brian,MD-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Klacik,Kim,MD-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Madwolf,M.J.,MD-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Matory,Elizabeth,MD-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Newton,William,MD-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Raskin,Jamie,MD-08,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Morgan,Marcia,MD-08,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Paul,Utam,MD-08,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Young,Lih,MD-08,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Coll,Gregory,MD-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Cooper,Bridgette,MD-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Gladden,Nicholas,MD-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Rogers,Patricia,MD-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Skolnick,Shelly,MD-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Yadeta,Michael,MD-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Collins,Susan,ME-00,Rep,Senate,yes,Female,,,,,,,,,,,,,,,,,,,,
Gideon,Sara,ME-00,Dem,Senate,no,,,,,,,,,,,,,,,,,,,,,
Kidman,Bre,ME-00,Dem,Senate,no,,,,,,,,,,,,,,,,,,,,,
LaJeunesse,Ross,ME-00,Dem,Senate,no,,,,,,,,,,,,,,,,,,,,,
Sweet,Betsy,ME-00,Dem,Senate,no,,,,,,,,,,,,,,,,,,,,,
Savage,Lisa,ME-00,Maine Green Independent,Senate,no,,,,,,,,,,,,,,,,,,,,,
Bond ,Tiffany,ME-00,Ind ,Senate,no,,,,,,,,,,,,,,,,,,,,,
VanHelsing,Danielle,ME-00,Ind,Senate,no,,,,,,,,,,,,,,,,,,,,,
Wooten,Linda,ME-00,Ind,Senate,no,,,,,,,,,,,,,,,,,,,,,
Pingree,Chellie,ME-01,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Allen,Jay,ME-01,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Golden,Jared,ME-02,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Bennett,Adrienne,ME-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Brakey,Eric,ME-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Crafts,Dale,ME-02,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Peters,Gary,MI-00,Dem,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Carr,Bob,MI-00,Rep,Senate,no,,,,,,,,,,,,,,,,,,,,,
James,John,MI-00,Rep,Senate,no,,,,,,,,,,,,,,,,,,,,,
Willis,Valerie,MI-00,None,Senate,no,,,,,,,,,,,,,,,,,,,,,
Jones,Gregory Charles,MI-00,Other,Senate,no,,,,,,,,,,,,,,,,,,,,,
Ferguson,Dana Alan,MI-01,Dem ,House,no,,,,,,,,,,,,,,,,,,,,,
O'Dell,Linda,MI-01,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Ruzziconi,Ryan,MI-01,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MI-01,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Huizenga,Bill,MI-02,Rep,House,yes,,,,,,,,,,,,,,,,,,,,,
Berghoef,Bryan,MI-02,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Creviere,Jean-Michel,MI-02,Green,House,no,,,,,,,,,,,,,,,,,,,,,
Amash,Justin,MI-03,Ind,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Brunzell,Amanda Le'Anne,MI-03,Dem ,House,no,,,,,,,,,,,,,,,,,,,,,
Scholten,Hillary,MI-03,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Afendoulis,Lynn,MI-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Farrington,Joe,MI-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Jackson Willis,Andrew,MI-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Meijer,Peter,MI-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Norton,Tom,MI-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Rafi,Emily,MI-03,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Moolenaar,John,MI-04,Rep,House,yes,,,,,,,,,,,,,,,,,,,,,
Feig,Anthony,MI-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Hilliard,Jerry,MI-04,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Kildee,Dan,MI-05,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Clauss,Matthew,MI-05,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Fitchett-Hickson,Christina,MI-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Kelly,Tim,MI-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Lackie,Earl,MI-05,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Upton,Fred,MI-06,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Oelke,Elena,MI-06,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Gray,Aida,MI-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Hoadley,Jon,MI-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Pastor-Diaz,Angelica,MI-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Richardson,Jen,MI-06,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Tidwell,Andrew,MI-06,Ind,House,no,,,,,,,,,,,,,,,,,,,,,
Branscum,Samuel,MI-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Driskell,Gretchen,MI-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Hall,Ryan William,MI-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Larson,Samuel,MI-07,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Gidner,Bruce,MI-07,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Slotkin,Elissa,MI-08,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Detmer,Mike,MI-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Hoover,Alan,MI-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Junge,Paul,MI-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Lyke,Kristina,MI-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Snyder,Nikki,MI-08,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MI-09,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MI-09,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Bizon,Kimberly,MI-10,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Noland,Kelly,MI-10,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Wellington,Don,MI-10,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Hernandez,Shane,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Jowske,Jeffrey,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
McClain,Lisa,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Mikula,Brandon,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Piwko,Richard,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Singh,Bisham,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Slocum,Doug,MI-10,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Acosta,Frank,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Batu,David,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Bentivolio,Kerry,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Greco,Carmelita,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Esshaki,Eric,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Keller,Scott Thomas,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Williams,Whitney,MI-11,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MI-11,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Carbonaro,Anthony,MI-12,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Rajput,Solomon,MI-12,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,MI-12,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Tlaib,Rashida,MI-13,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Patterson,Stephen Michael,MI-13,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Dudenhoefer,David,MI-13,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Lemmo,Alfred,MI-13,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Sawyer,Linda,MI-13,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Lawrence,Brenda,MI-14,Dem,House,yes,,,,,,,,,,,,,,,,,,,,,
Morrison,Terrance,MI-14,Dem,House,no,,,,,,,,,,,,,,,,,,,,,
Grossbard,Gavriel,MI-14,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Houston,Daryle,MI-14,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Patrick,Robert Vance,MI-14,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Smith,Tina,MN-00,Dem,Senate,yes,Female,,,,,,,,,,,,,,,,,,,,
Hagedorn,,MN-01,Rep,House,no,Male,,,,,,,,,,,,,,,,,,,,
Craig,,MN-02,Dem,House,no,Female,,,,,,,,,,,,,,,,,,,,
Phillips,,MN-03,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Peterson,,MN-07,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Stauber,Pete,MN-08,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Wagner,,MO-02,Rep,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Hyde-Smith,Cindy,MS-00,Rep,Senate,yes,Female,,,,,,,,,,,,,,,,,,,,
Daines,Steve,MT-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Open,,MT-AL,Rep,House,,,,,,,,,,,,,,,,,,,,,,
Tillis,Thom,NC-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Open,,NC-02,Rep,House,,,,,,,,,,,,,,,,,,,,,,
Open,,NC-06,Rep,House,,,,,,,,,,,,,,,,,,,,,,
Bishop,Dan,NC-09,Rep,House,no,Male,,,,,,,,,,,,,,,,,,,,
Sasse,Ben,NE-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Bacon,Don,NE-02,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Shaheen,Jeanne,NH-00,Dem,Senate,yes,Female,,,,,,,,,,,,,,,,,,,,
Pappas,,NH-01,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Booker,Cory,NJ-00,Dem,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Van Drew,Jeff,NJ-02,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Kim,Andy,NJ-03,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Gottheimer,Josh,NJ-05,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Malinowski,,NJ-07,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Sherrill,Mikie,NJ-11,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Open,,NM-00,Dem,Senate,,,,,,,,,,,,,,,,,,,,,,
Torres Small,Xochitl,NM-02,Dem,House,no,Female,,,,,,,,,,,,,,,,,,,,
Lee,Susie,NV-03,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Horsford,Steven,NV-04,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Zeldin,Lee,NY-01,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Open,,NY-02,Rep,House,,,,,,,,,,,,,,,,,,,,,,
Rose,,NY-11,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Maloney,Carolyn,NY-18,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Delgado,,NY-19,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Brindisi,Anthony,NY-22,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Katko,John,NY-24,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Chabot,Steve,OH-01,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Inhofe,Jim,OK-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Horn,,OK-05,Dem,House,no,Female,,,,,,,,,,,,,,,,,,,,
Merkley,Jeff,OR-00,Dem,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
DeFazio,Peter,OR-04,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Fitzpatrick,,PA-01,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Wild,,PA-07,Dem,House,no,Female,,,,,,,,,,,,,,,,,,,,
Cartwright,Matt,PA-08,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Perry,,PA-10,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Lamb,Connor,PA-17,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Reed,Jack,RI-00,Dem,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Graham,Lindsey,SC-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Cunningham,Joe,SC-01,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Rounds,Mike,SD-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Open,,TN-00,Rep,Senate,,,,,,,,,,,,,,,,,,,,,,
Cornyn,John,TX-00,Rep,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Crenshaw,Dan,TX-02,Rep,House,no,Male,,,,,,,,,,,,,,,,,,,,
Fletcher,Lizzie Pannill,TX-07,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
McCaul,Michael,TX-10,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Roy,,TX-21,Rep,House,no,Male,,,,,,,,,,,,,,,,,,,,
Open,,TX-22,Rep,House,,,,,,,,,,,,,,,,,,,,,,
Open,,TX-23,Rep,House,no,,,,,,,,,,,,,,,,,,,,,
Open,,TX-24,Rep,House,,,,,,,,,,,,,,,,,,,,,,
Carter,John,TX-31,Rep,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Allred,,TX-32,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
McAdams,,UT-04,Dem,House,no,Male,,,,,,,,,,,,,,,,,,,,
Warner,Mark,VA-00,Dem,Senate,yes,Male,,,,,,,,,,,,,,,,,,,,
Luria,Elaine,VA-02,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Riggleman,,VA-05,Rep,House,no,Male,,,,,,,,,,,,,,,,,,,,
Spanberger,Abigail,VA-07,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Wexton,Jennifer,VA-10,Dem,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Herrera Beutler,Jaime,WA-03,Rep,House,yes,Female,,,,,,,,,,,,,,,,,,,,
Schrier,,WA-08,Dem,House,no,Female,,,,,,,,,,,,,,,,,,,,
Kind,Ron,WI-03,Dem,House,yes,Male,,,,,,,,,,,,,,,,,,,,
Moore Capito,Shelley,WV-00,Rep,Senate,yes,Female,,,,,,,,,,,,,,,,,,,,
Open,,WY-00,Rep,Senate,,,,,,,,,,,,,,,,,,,,,,
